PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees,Zip
9/1/2014,83,70,57,58,56,52,86,64,42,29.86,29.82,29.76,10,10,8,16,7,20,0,0,,290,94107
9/2/2014,72,66,60,58,57,55,84,73,61,29.87,29.82,29.79,10,10,7,21,8,,0,5,,290,94107
9/3/2014,76,69,61,57,56,55,84,69,53,29.81,29.76,29.72,10,10,10,21,8,24,0,4,,276,94107
9/4/2014,74,68,61,57,57,56,84,71,57,29.81,29.76,29.72,10,10,8,22,8,25,0,5,,301,94107
9/5/2014,72,66,60,57,56,54,84,71,57,29.92,29.87,29.81,10,9,7,18,8,32,0,4,,309,94107
9/6/2014,72,66,60,55,54,52,84,69,53,29.98,29.93,29.89,10,9,7,17,9,30,0,4,,290,94107
9/7/2014,72,66,60,54,53,45,78,66,53,29.92,29.87,29.82,10,10,10,18,10,28,0,3,,293,94107
9/8/2014,68,64,59,52,51,50,72,64,55,29.96,29.9,29.86,10,10,10,18,12,22,0,4,,272,94107
9/9/2014,72,65,57,56,53,52,87,72,57,30.01,29.96,29.91,10,10,10,17,7,21,0,5,,270,94107
9/10/2014,82,68,54,59,56,51,93,66,39,29.96,29.9,29.83,10,9,5,16,5,20,0,1,,283,94107
9/11/2014,83,70,57,59,57,50,90,62,33,29.91,29.87,29.82,10,8,2,20,7,22,0,2,,312,94107
9/12/2014,77,67,57,59,56,54,87,69,50,29.91,29.85,29.8,10,9,6,15,8,23,0,1,,299,94107
9/13/2014,75,67,59,59,57,55,84,71,57,29.87,29.83,29.78,10,10,9,22,8,33,0,4,,306,94107
9/14/2014,74,67,60,57,56,55,84,69,53,29.87,29.84,29.81,10,10,9,18,8,28,0,2,,295,94107
9/15/2014,77,70,62,58,56,53,84,64,43,29.94,29.9,29.85,10,10,10,18,9,49,0,3,,281,94107
9/16/2014,78,68,58,60,57,54,87,67,47,29.95,29.89,29.81,10,10,8,18,7,21,0,4,,276,94107
9/17/2014,77,69,61,64,58,55,84,67,50,29.83,29.8,29.75,10,10,9,21,9,29,T,5,Rain,267,94107
9/18/2014,78,70,61,65,62,58,87,71,54,29.9,29.84,29.78,10,10,6,20,9,29,T,5,Rain,242,94107
9/19/2014,73,66,59,61,60,59,93,79,64,29.93,29.9,29.86,10,10,8,23,7,31,0,5,,295,94107
9/20/2014,71,67,63,60,59,57,90,79,68,29.95,29.92,29.89,10,10,10,20,9,23,0,6,,296,94107
9/21/2014,69,67,64,59,58,57,78,72,66,30.02,29.99,29.94,10,10,10,22,11,28,0,8,,269,94107
9/22/2014,75,69,63,58,57,55,78,66,53,30.04,30,29.96,10,10,10,18,9,21,0,4,,277,94107
9/23/2014,75,69,63,63,59,57,87,76,64,30.02,29.97,29.93,10,10,7,18,8,23,T,5,Rain,276,94107
9/24/2014,77,71,65,63,62,60,87,74,60,29.97,29.94,29.89,10,9,5,20,9,26,0.01,6,Rain,267,94107
9/25/2014,72,65,58,59,57,56,100,79,57,30.02,29.96,29.91,10,8,2,21,6,24,0.43,6,Rain,288,94107
